,Title,Artist,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,Popularity,Release_Year,billboard_hot_100
28,youth of the nation,p.o.d.,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,8.0,-7.532999999999999,1.0,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240.0,4.0,0.0,72.0,2001.0,0
29,vertigo,u2,57ZXcBtCZXSg9TVV5xRdnR,0.416,0.8190000000000001,9.0,-3.974,1.0,0.0613,0.000138,0.00108,0.122,0.632,140.083,194520.0,4.0,0.0,51.0,2004.0,0
30,miss murder,afi,0Ti2dlF2xLjXblvdU5fCxM,0.308,0.873,8.0,-4.542,1.0,0.0533,0.00022,0.000729,0.0974,0.6859999999999999,143.519,206587.0,4.0,0.0,72.0,2006.0,0
31,i bet you look good on the dancefloor,arctic monkeys,29EkMZmUNz1WsuzaMtVo1i,0.535,0.948,6.0,-4.19,0.0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680.0,4.0,0.0,63.0,2006.0,0
32,"steady, as she goes",the raconteurs,19iqWNzp5LwEdvntpEK8MP,0.524,0.578,9.0,-4.563,1.0,0.12,0.0132,0.00921,0.108,0.537,123.669,215267.0,4.0,0.0,58.0,2006.0,0
33,falling away from me,korn,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4.0,-7.0360000000000005,1.0,0.041,0.00014,0.00124,0.271,0.17,104.102,270920.0,4.0,1.0,73.0,1999.0,0
34,crawling in the dark,hoobastank,3wli6CFsUwYEuLZTIuCwt3,0.57,0.915,6.0,-4.802,0.0,0.105,0.000273,8.48e-05,0.17800000000000002,0.6759999999999999,93.54,175227.0,4.0,0.0,63.0,2001.0,0
35,i stand alone,godsmack,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,8.0,-4.479,1.0,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040.0,4.0,0.0,69.0,2003.0,0
36,woman,wolfmother,3CkjLJYnnyOtGk4Jx4iYS4,0.219,0.952,2.0,-3.621,1.0,0.176,5.1e-05,0.0989,0.157,0.172,112.886,176307.0,1.0,0.0,64.0,2006.0,0
37,show me how to live,audioslave,1Qdnvn4XlmZANCVy3XjrQo,0.433,0.8540000000000001,9.0,-3.868,1.0,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840.0,4.0,0.0,71.0,2002.0,0
